FATALITY_ID,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_DATE,FATALITY_LOCATION,FATALITY_TYPE
41079,889068,25,M,4/13/2020,Mobile/Trailer Home,D
41107,891279,16,M,4/24/2020,In Water,I
41201,897962,44,M,1/14/2020,Boating,I
41202,897962,57,M,1/14/2020,Boating,I
41203,897962,59,M,1/14/2020,Boating,I
41291,871629,51,M,1/11/2020,Mobile/Trailer Home,D
41292,871629,85,M,1/11/2020,Mobile/Trailer Home,D
40984,883722,,F,3/7/2020,Outside/Open Areas,D
40781,877285,80,F,2/6/2020,Vehicle/Towed Trailer,D
41293,871629,75,F,1/11/2020,Mobile/Trailer Home,D
40839,881954,,,4/7/2020,Unknown,D
41047,888955,46,F,4/13/2020,Permanent Home,D
41038,889030,29,M,4/22/2020,Unknown,D
41039,889030,27,F,4/22/2020,Unknown,D
41040,889030,,M,4/22/2020,Unknown,D
41075,889068,56,M,4/13/2020,Mobile/Trailer Home,D
41076,889068,56,F,4/13/2020,Mobile/Trailer Home,D
41077,889068,26,F,4/13/2020,Mobile/Trailer Home,D
41078,889068,41,M,4/13/2020,Mobile/Trailer Home,D
41294,878237,54,F,2/6/2020,Mobile/Trailer Home,D
41286,879197,,F,3/20/2020,In Water,D
41287,879197,17,M,3/20/2020,In Water,D
40848,880546,67,M,3/2/2020,Mobile/Trailer Home,D
41087,890156,40,F,4/12/2020,Mobile/Trailer Home,D
41225,899721,71,M,4/19/2020,Mobile/Trailer Home,D
41234,901386,34,M,1/17/2020,Outside/Open Areas,D
41242,902815,60,M,4/12/2020,Mobile/Trailer Home,D
41243,902815,55,F,4/12/2020,Mobile/Trailer Home,D
41288,909156,38,M,3/28/2020,In Water,D
40755,877114,27,M,4/16/2020,Vehicle/Towed Trailer,I
40765,877048,30,M,4/15/2020,Outside/Open Areas,D
40766,877419,60,M,4/12/2020,Outside/Open Areas,D
40806,880057,48,M,4/22/2020,In Water,D
40807,879418,1,M,4/29/2020,Vehicle/Towed Trailer,D
40808,879418,2,M,4/29/2020,Vehicle/Towed Trailer,D
40809,879418,4,F,4/29/2020,Vehicle/Towed Trailer,D
40810,879418,6,F,4/29/2020,Vehicle/Towed Trailer,D
40811,879418,12,F,4/29/2020,Vehicle/Towed Trailer,D
40830,881161,44,M,4/28/2020,Under Tree,D
40843,882493,62,M,4/12/2020,Permanent Structure,D
40989,884164,63,M,4/13/2020,Mobile/Trailer Home,D
40990,884164,68,F,4/13/2020,Mobile/Trailer Home,D
40992,884080,32,M,4/12/2020,Vehicle/Towed Trailer,I
41006,886389,80,M,4/21/2020,Outside/Open Areas,D
41007,884482,42,M,4/8/2020,Vehicle/Towed Trailer,I
41015,887797,82,M,4/30/2020,Vehicle/Towed Trailer,D
41016,887943,61,F,4/13/2020,Mobile/Trailer Home,D
41022,887908,,,4/12/2020,Unknown,D
41023,887908,,,4/12/2020,Unknown,D
41041,889119,61,M,4/9/2020,Outside/Open Areas,D
41064,889259,59,F,4/12/2020,Mobile/Trailer Home,D
41065,889259,20,F,4/12/2020,Mobile/Trailer Home,D
41066,889259,63,F,4/12/2020,Mobile/Trailer Home,D
41067,889259,50,M,4/12/2020,Mobile/Trailer Home,D
41068,889259,79,M,4/12/2020,Mobile/Trailer Home,D
41069,889259,75,F,4/12/2020,Mobile/Trailer Home,D
41070,889259,48,M,4/12/2020,Mobile/Trailer Home,D
41071,889259,57,M,4/12/2020,Mobile/Trailer Home,D
41072,889288,34,M,4/13/2020,Permanent Home,D
41073,886100,77,M,4/13/2020,Long Span Roof,D
41080,887044,,,4/22/2020,Unknown,D
41083,890139,28,M,4/1/2020,Outside/Open Areas,D
41084,890140,46,M,4/3/2020,Outside/Open Areas,D
41088,890149,33,F,4/12/2020,In Water,D
41089,890571,,M,4/19/2020,Mobile/Trailer Home,D
41090,890609,29,M,4/12/2020,Permanent Home,D
41091,876337,46,M,4/12/2020,Mobile/Trailer Home,D
41092,876337,4,M,4/15/2020,Permanent Home,D
41099,890717,57,M,4/13/2020,Vehicle/Towed Trailer,D
41100,890652,46,M,4/22/2020,Vehicle/Towed Trailer,D
41101,890652,46,M,4/22/2020,Outside/Open Areas,D
41115,880478,71,F,5/4/2020,Permanent Structure,D
40836,881748,18,M,5/11/2020,In Water,D
40837,881749,19,M,5/16/2020,In Water,D
41009,882294,46,F,5/19/2020,Vehicle/Towed Trailer,D
40842,882377,62,M,5/21/2020,In Water,D
40986,883052,74,F,5/17/2020,Outside/Open Areas,I
40988,884340,,M,5/30/2020,Boating,D
40993,884487,,M,5/27/2020,In Water,D
40994,884489,31,M,5/28/2020,In Water,D
41010,886295,41,M,5/27/2020,Heavy Equipment/Construction,D
41013,887620,,,5/30/2020,Outside/Open Areas,D
41167,888186,,M,5/15/2020,Vehicle/Towed Trailer,I
41019,888317,57,M,5/22/2020,Vehicle/Towed Trailer,D
41063,889249,29,M,5/20/2020,In Water,D
41149,892202,73,M,5/6/2020,Outside/Open Areas,I
41148,892243,29,M,5/29/2020,In Water,D
41165,892502,3,F,5/11/2020,In Water,D
41166,892502,7,F,5/11/2020,In Water,D
41147,892770,18,F,5/15/2020,In Water,D
41172,893920,20,M,5/21/2020,Mobile/Trailer Home,D
41196,894099,43,M,5/15/2020,In Water,D
41164,894576,17,M,5/24/2020,In Water,D
41168,895063,32,M,5/5/2020,Outside/Open Areas,D
41170,895549,26,F,5/17/2020,Mobile/Trailer Home,D
41177,895786,51,M,6/6/2020,Outside/Open Areas,D
41179,895889,21,M,5/26/2020,Outside/Open Areas,D
41195,896679,,M,5/22/2020,Permanent Home,D
41217,897267,34,M,5/3/2020,Outside/Open Areas,D
41188,897450,47,M,5/7/2020,In Water,I
41191,897699,,M,5/30/2020,Under Tree,D
41207,898115,24,M,5/28/2020,In Water,I
41208,898115,,M,5/28/2020,In Water,I
41209,898115,,M,5/28/2020,In Water,I
41226,899873,24,M,5/22/2020,In Water,D
40985,884311,61,M,6/2/2020,Boating,D
40996,885500,38,M,6/3/2020,Permanent Structure,D
40997,885505,49,F,6/3/2020,Vehicle/Towed Trailer,D
40998,885507,,M,6/3/2020,Vehicle/Towed Trailer,D
40999,885522,,M,6/3/2020,Permanent Home,I
41000,886010,65,F,6/6/2020,Outside/Open Areas,D
41257,888897,29,M,6/9/2020,Vehicle/Towed Trailer,I
41258,888897,40,M,6/9/2020,Vehicle/Towed Trailer,I
41074,889692,27,M,6/25/2020,Outside/Open Areas,D
41269,891063,70,M,6/29/2020,In Water,D
41110,891933,70,M,6/6/2020,Outside/Open Areas,I
41113,891995,,F,6/29/2020,Unknown,I
41114,891995,,M,6/29/2020,Unknown,I
41116,892093,31,M,6/4/2020,In Water,D
41119,892334,3,M,6/5/2020,In Water,D
