EVENT_ID,LOCATION_INDEX,EPISODE_ID,LOCATION,LATITUDE,LONGITUDE
883916,1,147048,VINELAND,46.12,-93.8
883916,2,147048,WAHKON,46.0848,-93.5305
883917,1,147048,WARMAN,46.04,-93.29
883918,1,147048,QUAMBA,46.01,-93.18
884127,1,147087,FARWELL,45.75,-95.62
884128,1,147087,GUTCHES GROVE,45.9,-95.08
884129,1,147087,BURTRUM,45.87,-94.67
884130,1,147087,VILLARD,45.71,-95.27
884131,1,147087,GLENWOOD,45.65,-95.39
884132,1,147087,GILMAN,45.75,-93.97
884133,1,147087,SARTELL,45.62,-94.21
884134,1,147087,SARTELL,45.62,-94.22
884135,1,147087,ST CLOUD,45.59,-94.19
884136,1,147087,COLD SPG,45.46,-94.43
884137,1,147087,ELK RIVER,45.31,-93.56
884138,1,147087,BUTTERNUT,44.14,-94.31
884139,1,147087,HANSKA,44.13,-94.42
884140,1,147087,MAHTOMEDI,45.06,-92.95
884141,1,147087,LAKE CRYSTAL,44.11,-94.22
884143,1,147087,LAKE CRYSTAL,44.1203,-94.2254
884143,2,147087,RAPIDAN,44.0666,-94.0515
884145,1,147087,BEAUFORD,44.0143,-93.905
884145,2,147087,PEMBERTON,43.98,-93.78
884146,1,147087,WALDORF,43.94,-93.7
884147,1,147087,WALDORF,43.94,-93.7
884148,1,147087,(AEL)ALBERT LEA ARPT,43.6804,-93.3654
884149,1,147087,(AEL)ALBERT LEA ARPT,43.68,-93.37
885623,1,147087,LEWISVILLE,43.96,-94.43
885624,1,147087,GRANADA,43.7,-94.35
885625,1,147087,SAVAGE,44.75,-93.35
885626,1,147087,LAKEVILLE,44.65,-93.29
885072,1,147194,MARYDEL,39.11,-75.74
885073,1,147194,MIDDLETOWN,39.45,-75.73
885074,1,147194,BLACKISTON,39.26,-75.73
885076,1,147194,CENTERVILLE,39.82,-75.64
885077,1,147194,CENTERVILLE,39.81,-75.62
885078,1,147194,MIDDLETOWN,39.45,-75.72
884885,1,147195,CHURCH HILL,39.14,-76
884887,1,147195,BLYTHEDALE,39.6,-76.08
884891,1,147195,BIGWOODS,39.28,-76.01
884893,1,147195,CALVERT,39.68,-75.99
884896,1,147195,GREENSBORO,38.97,-75.8
885104,1,147217,GARRISON MUNI ARPT,47.6,-101.42
886039,1,147217,BOTTINEAU ARPT,48.84,-100.42
885111,1,147218,LINTON MUNI ARPT,46.17,-100.38
885112,1,147218,STRASBURG,46.25,-99.91
885113,1,147218,DANZIG,46.18,-99.48
885114,1,147218,DANZIG,46.18,-99.35
885115,1,147218,ELLENDALE,46,-98.63
885165,1,147218,ASHLEY,46.1712,-99.1618
885248,1,147228,VERMILLION,39.79,-96.29
899328,1,147228,FRANKFORT,39.7,-96.42
899329,1,147228,AXTELL,39.87,-96.26
899330,1,147228,AXTELL,39.87,-96.25
901259,1,147228,BELLEVILLE,39.84,-97.63
892123,1,147241,GIBSONTON,27.85,-82.38
892123,2,147241,GIBSONTON,27.8497,-82.3778
892123,3,147241,GIBSONTON,27.8498,-82.3795
892123,4,147241,GIBSONTON,27.8498,-82.3799
892124,1,147241,LITHIA,27.85,-82.22
892125,1,147241,OAK KNOLL,27.49,-82.31
892125,2,147241,OAK KNOLL,27.4917,-82.3052
892125,3,147241,OAK KNOLL,27.4951,-82.3086
892125,4,147241,LAKE MANATEE STATE PARK,27.4928,-82.3117
892126,1,147241,THONOTOSASSA,28.06,-82.3
892126,2,147241,THONOTOSASSA,28.0601,-82.2979
892126,3,147241,THONOTOSASSA,28.0587,-82.2978
892126,4,147241,THONOTOSASSA,28.0587,-82.2999
892127,1,147241,LAKE PANASOFFKEE,28.77,-82.17
892128,1,147241,LINDEN,28.57,-82.01
892128,2,147241,LINDEN,28.5667,-82.0085
892156,1,147241,CLEARWATER,27.9783,-82.77
892156,2,147241,CLEARWATER,27.99,-82.7631
892157,1,147241,OXFORD,28.93,-82.08
892157,2,147241,OXFORD,28.9233,-82.0764
892158,1,147241,SUNNYLAND,27.27,-82.51
892158,2,147241,SUNNYLAND,27.2693,-82.5111
892158,3,147241,SUNNYLAND,27.2693,-82.5097
892158,4,147241,SUNNYLAND,27.2694,-82.5085
892159,1,147241,BELSPUR,27.31,-82.48
892159,2,147241,BEE RIDGE,27.3083,-82.4814
892159,3,147241,BELSPUR,27.3083,-82.4802
892159,4,147241,BELSPUR,27.3083,-82.4793
892160,1,147241,OSPREY,27.19,-82.49
892160,2,147241,OSPREY,27.1895,-82.4901
892160,3,147241,OSPREY,27.1898,-82.4894
892160,4,147241,OSPREY,27.19,-82.4888
885405,1,147257,NAVAJO DAM,36.81,-107.65
885408,1,147257,BELEN,34.65,-106.83
885431,1,147263,ALLEN,44.6285,-91.4242
885431,2,147263,ALTOONA,44.7606,-91.4078
885431,3,147263,FALL CREEK,44.8471,-91.3162
885431,4,147263,WILSON,44.8379,-90.9472
885431,5,147263,FAIRCHILD,44.6519,-91.0267
885433,1,147263,BATEMAN,44.9214,-91.197
885433,2,147263,CADOTT,44.92,-91.15
885433,3,147263,BOYD,44.9357,-90.9789
885433,4,147263,STANLEY,45.112,-90.9241
885433,5,147263,JIM FALLS,45.0435,-91.1333
885434,1,147263,CADOTT,44.95,-91.15
885435,1,147263,BATEMAN,44.92,-91.32
885436,1,147263,DURAND,44.66,-91.67
885437,1,147263,HOLCOMBE,45.22,-91.13
885438,1,147263,AUGUSTA,44.73,-91.17
885440,1,147263,AUGUSTA,44.7,-91.13
885618,1,147264,NEW MUNICH,45.59,-94.75
885621,1,147264,DANUBE,44.8795,-95.1011
885621,2,147264,DANUBE,44.8841,-95.0991
885646,1,147264,(GDB)GRANITE FALLS AIRPORT,44.75,-95.56
885649,1,147264,MINNESOTA FALLS,44.87,-95.48
898992,1,147275,LISCO,41.56,-102.55
885510,1,147277,SHEBOYGAN,43.749,-87.693
885542,1,147278,GREENTOWN,40.48,-85.97
885543,1,147278,WHITESTOWN,39.97,-86.34
885544,1,147278,CASSVILLE,40.54,-86.18
885545,1,147278,TIPTON,40.28,-86.09
885546,1,147278,GREENTOWN,40.48,-85.96
885547,1,147278,GREENTOWN,40.48,-85.97
885548,1,147278,SYCAMORE,40.48,-85.92
885549,1,147278,CENTER,40.46,-86.06
885550,1,147278,WINDFALL,40.36,-85.96
885551,1,147278,NEVADA,40.39,-86.02
885552,1,147278,PHLOX,40.42,-85.93
885553,1,147278,JEROME,40.46,-85.92
885554,1,147278,GASTON,40.32,-85.5
885555,1,147278,SHARPSVILLE,40.38,-86.08
885533,1,147280,NEW SALEM,39.53,-85.34
885535,1,147280,HOWELL BROTHERS ARPT,39.57,-85.4
885567,1,147283,LARCHMONT HARBOR WXFLOW,40.9181,-73.7312
885569,1,147283,BAYVILLE WXFLOW,40.9023,-73.6326
885572,1,147283,NORWALK LIGHT WXFLOW,41.0767,-73.3837
885577,1,147283,STATION KPTN6,40.85,-73.7898
885581,1,147283,STAMFORD HARBOR,41.002,-73.571
885583,1,147283,EATONS NECK WXFLOW,40.954,-73.3955
885680,1,147283,POINT O WOODS WXFLOW,40.7,-73.2
885689,1,147283,BLUE POINT WXFLOW,40.7323,-73.0349
885692,1,147287,WARWICK,41.2531,-74.3612
885694,1,147287,PLEASANTVILLE,41.14,-73.78
885697,1,147287,VALHALLA,41.0795,-73.7731
885699,1,147287,HAWTHORNE,41.1,-73.79
885704,1,147287,HOLBROOK,40.82,-73.08
885708,1,147287,MEDFORD,40.8,-73
885717,1,147291,GRASSY LICK,38.0671,-84.0082
885722,1,147291,SHARPSBURG,38.1658,-83.9211
885722,2,147291,SHARPSBURG,38.1898,-83.9124
885725,1,147291,WOODSTOCK,37.2596,-84.5169
885725,2,147291,BANDY,37.2932,-84.5039
885726,1,147291,NORWOOD,37.1632,-84.6401
885728,1,147291,GRADE,37.0717,-84.4613
885731,1,147291,WABD,37.3033,-84.4009
885736,1,147291,FLEMINGSBURG,38.4072,-83.715
902627,1,148356,CHARLSON,47.9798,-102.5752
893653,1,148360,SCENIC,43.71,-102.37
893655,1,148360,PHILIP,44.02,-101.93
893656,1,148360,MIDLAND,44.17,-101.17
893659,1,148366,PARMELEE,43.23,-101.2
893660,1,148366,PARMELEE,43.32,-101.1394
893663,1,148367,HARRINGTON,43.01,-101.25
893672,1,148369,CAMP CROOK,45.6436,-103.9246
893673,1,148369,CAMP CROOK,45.65,-103.95
893674,1,148369,LADNER,45.69,-103.84
893675,1,148369,LADNER,45.83,-103.6885
893677,1,148369,LUDLOW,45.94,-103.49
893680,1,148370,(ICR)WINNER AIRPORT,43.39,-99.84
893684,1,148371,RED ELM,45.0545,-101.8089
893685,1,148371,RED ELM,45.0102,-101.9603
893686,1,148371,(D07)FAITH ARPT,45.03,-102.02
893687,1,148372,ST FRANCIS,43.07,-100.81
893688,1,148372,MISSION,43.06,-100.51
893689,1,148372,MISSION,43.09,-100.53
893690,1,148372,MISSION,43.09,-100.53
893695,1,148374,GILLETTE,44.29,-105.5
893696,1,148374,GILLETTE,44.2633,-105.4845
893697,1,148374,GILLETTE,44.2845,-105.4813
893698,1,148374,GILLETTE,44.2755,-105.5
893699,1,148374,GILLETTE,44.2466,-105.5
893700,1,148374,GILLETTE,44.2633,-105.4845
893701,1,148377,WRIGHT,43.93,-105.45
893706,1,148378,HOT SPRINGS,43.43,-103.4003
893710,1,148379,CUSTER,43.771,-103.573
893715,1,148379,CUSTER,43.77,-103.6
904934,1,148379,CUSTER,43.8,-103.6
904934,2,148379,CUSTER,43.78,-103.51
904934,3,148379,CUSTER,43.73,-103.51
904934,4,148379,CUSTER,43.76,-103.6
893725,1,148382,CARTER,43.3391,-100.1437
894006,1,148412,EARTH,34.1802,-102.5455
894011,1,148412,WOLFFORTH,33.4198,-102.0598
894012,1,148412,ABERNATHY,33.8577,-101.7695
894014,1,148412,NEW HOME,33.32,-101.92
894015,1,148412,TAHOKA,33.2201,-101.7601
894016,1,148412,GRAHAM CHAPEL,33.0815,-101.5162
894017,1,148412,BROWNFIELD,33.18,-102.28
895979,1,148739,BRUSHY,42.45,-94
895980,1,148739,TITONKA,43.24,-94.04
895981,1,148739,DAKOTA CITY,42.73,-94.22
895982,1,148739,DAKOTA CITY,42.72,-94.2
895983,1,148739,MURRAY,41.04,-93.98
895992,1,148739,EVANSDALE,42.46,-92.28
895993,1,148739,EVANSDALE,42.46,-92.3
895994,1,148739,WATERLOO,42.49,-92.32
895998,1,148739,IOWA FALLS MUNI ARPT,42.49,-93.26
895999,1,148739,IOWA FALLS,42.52,-93.27
896005,1,148739,UNIQUE,42.69,-94.37
896006,1,148739,DAKOTA CITY,42.72,-94.21
