FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202004,13,0,41079,889068,"D","04/13/2020 00:00:00",25,"M","Mobile/Trailer Home",202004
202004,24,0,41107,891279,"I","04/24/2020 00:00:00",16,"M","In Water",202004
202001,14,0,41201,897962,"I","01/14/2020 00:00:00",44,"M","Boating",202001
202001,14,0,41202,897962,"I","01/14/2020 00:00:00",57,"M","Boating",202001
202001,14,0,41203,897962,"I","01/14/2020 00:00:00",59,"M","Boating",202001
202001,11,0,41291,871629,"D","01/11/2020 00:00:00",51,"M","Mobile/Trailer Home",202001
202001,11,0,41292,871629,"D","01/11/2020 00:00:00",85,"M","Mobile/Trailer Home",202001
202003,7,0,40984,883722,"D","03/07/2020 00:00:00",,"F","Outside/Open Areas",202003
202002,6,0,40781,877285,"D","02/06/2020 00:00:00",80,"F","Vehicle/Towed Trailer",202002
202001,11,0,41293,871629,"D","01/11/2020 00:00:00",75,"F","Mobile/Trailer Home",202001
202004,7,0,40839,881954,"D","04/07/2020 00:00:00",,"","Unknown",202004
202004,13,0,41047,888955,"D","04/13/2020 00:00:00",46,"F","Permanent Home",202004
202004,22,0,41038,889030,"D","04/22/2020 00:00:00",29,"M","Unknown",202004
202004,22,0,41039,889030,"D","04/22/2020 00:00:00",27,"F","Unknown",202004
202004,22,0,41040,889030,"D","04/22/2020 00:00:00",,"M","Unknown",202004
202004,13,0,41075,889068,"D","04/13/2020 00:00:00",56,"M","Mobile/Trailer Home",202004
202004,13,0,41076,889068,"D","04/13/2020 00:00:00",56,"F","Mobile/Trailer Home",202004
202004,13,0,41077,889068,"D","04/13/2020 00:00:00",26,"F","Mobile/Trailer Home",202004
202004,13,0,41078,889068,"D","04/13/2020 00:00:00",41,"M","Mobile/Trailer Home",202004
202002,6,0,41294,878237,"D","02/06/2020 00:00:00",54,"F","Mobile/Trailer Home",202002
202003,20,0,41286,879197,"D","03/20/2020 00:00:00",,"F","In Water",202003
202003,20,0,41287,879197,"D","03/20/2020 00:00:00",17,"M","In Water",202003
202003,2,0,40848,880546,"D","03/02/2020 00:00:00",67,"M","Mobile/Trailer Home",202003
202004,12,0,41087,890156,"D","04/12/2020 00:00:00",40,"F","Mobile/Trailer Home",202004
202004,19,0,41225,899721,"D","04/19/2020 00:00:00",71,"M","Mobile/Trailer Home",202004
202001,17,0,41234,901386,"D","01/17/2020 00:00:00",34,"M","Outside/Open Areas",202001
202004,12,0,41242,902815,"D","04/12/2020 00:00:00",60,"M","Mobile/Trailer Home",202004
202004,12,0,41243,902815,"D","04/12/2020 00:00:00",55,"F","Mobile/Trailer Home",202004
